Benchmark,alpine,arch,conda,fedora,poptim,slim
2to3,103,92,99,108,100,104
chameleon,110,93,100,110,100,107
chaos,106,85,96,103,100,106
crypto_pyaes,100,83,94,108,100,100
deltablue,107,86,101,107,100,107
django_template,111,88,101,107,100,111
dulwich_log,103,84,95,103,100,103
fannkuch,102,83,96,116,100,102
float,105,90,97,104,100,105
genshi_text,106,92,95,106,100,103
genshi_xml,104,89,97,109,100,104
go,100,84,95,108,100,100
hexiom,103,82,94,117,100,103
json_dumps,14,12,13,16,100,14
json_loads,7,6,6,9,100,7
logging_format,106,83,95,135,100,106
logging_silent,104,85,98,104,100,104
logging_simple,108,84,96,108,100,106
mako,105,91,94,119,100,102
meteor_contest,97,97,93,124,100,95
nbody,89,72,83,89,100,89
nqueens,102,85,93,102,100,102
pathlib,111,89,95,111,100,104
pickle,86,81,68,94,100,86
pickle_dict,86,90,73,102,100,90
pickle_list,86,83,71,90,100,82
pickle_pure_python,103,84,96,103,100,103
pidigits,89,86,92,94,100,87
pyflate,103,85,95,114,100,101
python_startup,102,113,102,108,100,105
python_startup_no_site,100,118,102,109,100,107
raytrace,105,81,93,105,100,105
regex_compile,104,89,98,104,100,104
regex_dna,94,91,79,99,100,94
regex_effbot,88,88,79,97,100,86
regex_v8,84,81,79,91,100,84
richards,100,79,93,100,100,100
scimark_fft,94,78,86,96,100,94
scimark_lu,105,81,101,113,100,105
scimark_monte_carlo,100,84,93,103,100,100
scimark_sor,100,81,96,103,100,100
scimark_sparse_mat_mult,96,77,86,96,100,96
spectral_norm,92,81,85,103,100,90
sqlalchemy_declarative,101,93,102,117,100,108
sqlalchemy_imperative,103,92,99,121,100,103
sqlite_synth,105,79,83,105,100,105
sympy_expand,106,89,100,116,100,106
sympy_integrate,100,87,93,105,100,100
sympy_sum,103,90,95,117,100,101
sympy_str,105,90,99,105,100,105
telco,90,3278,78,106,100,85
tornado_http,100,90,95,117,100,101
unpack_sequence,88,88,84,114,100,88
unpickle,100,84,88,110,100,96
unpickle_list,87,84,74,93,100,78
unpickle_pure_python,100,85,93,100,100,100
xml_etree_parse,105,95,90,126,100,96
xml_etree_iterparse,104,96,97,125,100,101
xml_etree_generate,104,90,95,124,100,104
xml_etree_process,100,88,92,123,100,100
