Benchmark,alpine,arch,conda,fedora,poptim,slim
2to3,464000000,415000000,449000000,487000000,450000000,472000000
chameleon,13700000,11600000,12400000,13700000,12400000,13300000
chaos,172000000,138000000,157000000,168000000,162000000,172000000
crypto_pyaes,168000000,141000000,158000000,182000000,168000000,168000000
deltablue,10900000,8720000,10300000,10900000,10100000,10900000
django_template,76000000,60400000,69200000,73100000,68100000,76000000
dulwich_log,98800000,81000000,91300000,98800000,95800000,98800000
fannkuch,688000000,563000000,653000000,783000000,674000000,688000000
float,182000000,156000000,168000000,180000000,172000000,182000000
genshi_text,41800000,36300000,37500000,41800000,39300000,40500000
genshi_xml,86600000,74300000,80900000,90400000,82800000,86600000
go,381000000,321000000,364000000,415000000,381000000,381000000
hexiom,14900000,11900000,13600000,16900000,14400000,14900000
json_dumps,17200000,15300000,16000000,20100000,121000000,17200000
json_loads,38700,33400,33700,47100,511000,38700
logging_format,14900,11700,13300,18900,14000,14900
logging_silent,286,233,270,286,274,286
logging_simple,13700,10700,12100,13700,12600,13400
mako,23900000,20700000,21500000,27100000,22700000,23300000
meteor_contest,142000000,142000000,135000000,181000000,145000000,138000000
nbody,205000000,165000000,190000000,205000000,228000000,205000000
nqueens,148000000,123000000,135000000,148000000,144000000,148000000
pathlib,31900000,25400000,27200000,31900000,28500000,29900000
pickle,13400,12700,10600,14700,15500,13400
pickle_dict,31100,32500,26700,37100,36100,32700
pickle_list,4940,4790,4070,5210,5730,4700
pickle_pure_python,682000,558000,637000,682000,662000,682000
pidigits,231000000,223000000,239000000,246000000,259000000,227000000
pyflate,1030000000,848000000,951000000,1140000000,994000000,1010000000
python_startup,12100000,13400000,12100000,12800000,11800000,12500000
python_startup_no_site,8390000,9860000,8570000,9150000,8330000,8920000
raytrace,790000000,606000000,699000000,790000000,746000000,790000000
regex_compile,253000000,216000000,238000000,253000000,241000000,253000000
regex_dna,245000000,238000000,205000000,257000000,259000000,245000000
regex_effbot,3920000,3920000,3500000,4300000,4430000,3830000
regex_v8,29800000,28800000,28000000,32400000,35300000,29800000
richards,106000000,84700000,99400000,106000000,106000000,106000000
scimark_fft,536000000,449000000,492000000,549000000,569000000,536000000
scimark_lu,239000000,185000000,230000000,258000000,227000000,239000000
scimark_monte_carlo,156000000,132000000,146000000,162000000,156000000,156000000
scimark_sor,289000000,235000000,278000000,300000000,289000000,289000000
scimark_sparse_mat_mult,6850000,5520000,6170000,6850000,7130000,6850000
spectral_norm,197000000,175000000,182000000,221000000,214000000,193000000
sqlalchemy_declarative,226000000,209000000,229000000,261000000,223000000,241000000
sqlalchemy_imperative,41500000,36900000,39700000,48600000,40100000,41500000
sqlite_synth,4620,3500,3660,4620,4390,4620
sympy_expand,703000000,591000000,659000000,769000000,659000000,703000000
sympy_integrate,34400000,30100000,32300000,36300000,34400000,34400000
sympy_sum,309000000,272000000,285000000,353000000,300000000,304000000
sympy_str,471000000,403000000,443000000,471000000,447000000,471000000
telco,8810000,318000000,7630000,10300000,9700000,8300000
tornado_http,224000000,202000000,214000000,263000000,223000000,226000000
unpack_sequence,66,66,63,86,75,66
unpickle,20200,17000,17800,22300,20200,19500
unpickle_list,5390,5250,4620,5750,6180,4840
unpickle_pure_python,481000,409000,448000,481000,481000,481000
xml_etree_parse,223000000,202000000,190000000,267000000,211000000,204000000
xml_etree_iterparse,159000000,147000000,148000000,191000000,152000000,154000000
xml_etree_generate,139000000,120000000,127000000,165000000,133000000,139000000
xml_etree_process,109000000,96900000,101000000,135000000,109000000,109000000
